open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore,EMA20,EMA50,EMA200,RSI14,MACD,MACD_SIGNAL,MACD_HIST,ATR14,BB_UPPER,BB_MIDDLE,BB_LOWER,VOLUME_MA20,AI_SCORE,Signal
2025-07-09 03:30:00,661.57,661.64,661.24,661.42,353.408,2025-07-09 03:44:59.999,233767.07654,2277,174.632,115511.21293,0,,,,,,,,0.0,,,,,10.0,SELL
2025-07-09 03:45:00,661.43,661.84,661.3,661.61,445.751,2025-07-09 03:59:59.999,294954.16594,2513,239.628,158552.94339,0,,,,,,,,0.0,,,,,10.0,SELL
2025-07-09 04:00:00,661.61,661.62,661.27,661.31,420.093,2025-07-09 04:14:59.999,277903.75019,2138,196.2,129790.24466,0,,,,,,,,0.0,,,,,10.0,SELL
2025-07-09 04:15:00,661.31,661.84,661.3,661.66,881.675,2025-07-09 04:29:59.999,583335.99432,2417,522.296,345557.38022,0,,,,,,,,0.0,,,,,10.0,SELL
2025-07-09 04:30:00,661.66,662.05,661.65,661.91,351.884,2025-07-09 04:44:59.999,232898.76487,1928,205.697,136143.48519,0,,,,,,,,0.0,,,,,10.0,SELL
2025-07-09 04:45:00,661.9,662.11,661.34,662.1,898.693,2025-07-09 04:59:59.999,594682.68611,1666,260.038,172119.18608,0,,,,,,,,0.0,,,,,10.0,SELL
2025-07-09 05:00:00,662.1,662.59,662.1,662.33,825.537,2025-07-09 05:14:59.999,546860.0568,2681,395.676,262113.02254,0,,,,,,,,0.0,,,,,10.0,SELL
2025-07-09 05:15:00,662.33,662.56,662.24,662.25,250.538,2025-07-09 05:29:59.999,165962.51913,1509,142.187,94187.55406,0,,,,,,,,0.0,,,,,10.0,SELL
2025-07-09 05:30:00,662.25,664.0,662.12,664.0,1911.912,2025-07-09 05:44:59.999,1268034.64128,6783,1319.776,875224.84011,0,,,,,,,,0.0,,,,,10.0,SELL
2025-07-09 05:45:00,664.0,664.13,663.03,664.12,1444.395,2025-07-09 05:59:59.999,958627.13363,4721,732.054,485857.9365,0,,,,,,,,0.0,,,,,10.0,SELL
2025-07-09 06:00:00,664.13,664.55,663.82,663.9,1359.675,2025-07-09 06:14:59.999,903268.77491,4484,766.058,508935.61438,0,,,,,,,,0.0,,,,,10.0,SELL
2025-07-09 06:15:00,663.89,664.0,663.6,663.66,471.041,2025-07-09 06:29:59.999,312670.56529,2545,229.617,152415.84983,0,,,,,,,,0.0,,,,,10.0,SELL
2025-07-09 06:30:00,663.66,663.76,663.09,663.3,454.796,2025-07-09 06:44:59.999,301741.43459,2294,205.119,136078.86136,0,,,,,,,,0.0,,,,,10.0,SELL
2025-07-09 06:45:00,663.3,663.72,663.29,663.57,717.706,2025-07-09 06:59:59.999,476219.55157,1984,594.451,394433.67087,0,,,,70.77017350344612,,,,0.644285714285713,,,,,20.0,SELL
2025-07-09 07:00:00,663.57,663.64,662.84,662.85,414.117,2025-07-09 07:14:59.999,274692.73723,2270,139.881,92787.2475,0,,,,56.55146262495506,,,,0.6554081632653016,,,,,40.0,WAIT
2025-07-09 07:15:00,662.85,663.17,662.63,663.0,718.482,2025-07-09 07:29:59.999,476305.71534,2654,474.514,314588.34067,0,,,,58.42550906679941,,,,0.6471647230320631,,,,,40.0,WAIT
2025-07-09 07:30:00,663.0,663.01,662.37,662.37,383.489,2025-07-09 07:44:59.999,254148.71064,2567,218.788,145000.76847,0,,,,48.887881131798736,,,,0.6466529571012004,,,,,40.0,WAIT
2025-07-09 07:45:00,662.38,663.0,662.37,662.61,728.117,2025-07-09 07:59:59.999,482524.71522,3035,442.267,293100.00619,0,,,,52.09610090286623,,,,0.6454634601654001,,,,,40.0,WAIT
