log_time,symbol,timeframe,close,AI_SCORE,AI_DECISION,AI_SIGNAL,StrategyScore,Confidence,Reason
2026-07-07 14:19:36,BTCUSDT,15m,63084.94,30,WAIT,SELL,0,20,"EMA Bearish, Weak RSI, MACD Bearish, Low Volume"
2026-07-07 16:22:09,BTCUSDT,15m,63084.94,30,WAIT,SELL,0,20,"EMA Bearish, Weak RSI, MACD Bearish, Low Volume"
2026-07-07 16:23:19,BTCUSDT,15m,63084.94,30,WAIT,SELL,0,20,"EMA Bearish, Weak RSI, MACD Bearish, Low Volume"
2026-07-07 16:24:28,BTCUSDT,15m,63084.94,30,WAIT,SELL,0,20,"EMA Bearish, Weak RSI, MACD Bearish, Low Volume"
2026-07-07 16:25:35,BTCUSDT,15m,63084.94,30,WAIT,SELL,0,20,"EMA Bearish, Weak RSI, MACD Bearish, Low Volume"
2026-07-07 16:26:42,BTCUSDT,15m,63084.94,30,WAIT,SELL,0,20,"EMA Bearish, Weak RSI, MACD Bearish, Low Volume"
2026-07-07 16:27:50,BTCUSDT,15m,63084.94,30,WAIT,SELL,0,20,"EMA Bearish, Weak RSI, MACD Bearish, Low Volume"
2026-07-07 16:36:42,BTCUSDT,15m,63168.82,75,WAIT,,60,60,"EMA Bearish, MACD Bullish, Low Volume"
2026-07-07 16:37:55,BTCUSDT,15m,63175.99,75,WAIT,,60,60,"EMA Bearish, MACD Bullish, Low Volume"
2026-07-07 16:39:07,BTCUSDT,15m,63208.0,75,WAIT,,60,60,"EMA Bearish, MACD Bullish, Low Volume"
2026-07-07 16:40:27,BTCUSDT,15m,63219.49,75,WAIT,,60,60,"EMA Bearish, MACD Bullish, Low Volume"
2026-07-07 16:41:48,BTCUSDT,15m,63244.32,75,WAIT,,60,60,"EMA Bearish, MACD Bullish, Low Volume"
