entry_index,exit_index,holding_bars,entry_price,exit_price,profit,profit_pct,result,ai_score,rsi,atr_pct,volume_ratio,ema_gap_pct,loss_reason
0,88,88,694.78,680.84,-50.1598,-2.0064,LOSS,100.0,60.71928332235427,0.3694,1.158,0.2691,FALSE_SIGNAL
138,508,370,687.31,715.32,101.8827,4.0753,WIN,100.0,58.00527126556128,0.131,1.1321,0.032,WIN
509,623,114,717.19,746.92,103.6336,4.1453,WIN,80.0,69.18653229418302,0.3739,2.2962,0.6724,WIN
624,678,54,746.89,731.95,-50.0074,-2.0003,LOSS,80.0,81.20459109877486,0.3956,1.685,0.967,RSI_TOO_HIGH
740,932,192,737.86,767.73,101.2048,4.0482,WIN,100.0,64.10999694997477,0.3375,2.5115,0.0166,WIN
933,965,32,776.39,759.45,-54.5473,-2.1819,LOSS,80.0,75.72190678572525,0.4085,4.8657,0.4975,LOW_VOLATILITY
994,1004,10,769.6,753.66,-51.7801,-2.0712,LOSS,100.0,59.20143420363226,0.4923,1.3172,0.0337,FALSE_SIGNAL
1040,1084,44,766.06,803.38,121.792,4.8717,WIN,100.0,59.25165335010504,0.4001,1.2548,0.1534,WIN
1085,1136,51,799.58,777.75,-68.2546,-2.7302,LOSS,80.0,78.03461073477467,0.5193,2.651,1.0696,RSI_TOO_HIGH
1366,1529,163,783.1,814.98,101.775,4.071,WIN,80.0,67.25001052137124,0.3208,1.282,0.4931,WIN
1530,1586,56,818.41,853.56,107.3728,4.2949,WIN,80.0,86.48464190795316,0.4397,9.129,0.386,WIN
1592,1619,27,856.0,835.82,-58.9369,-2.3575,LOSS,80.0,67.13581446684205,0.5177,2.7488,0.9176,FALSE_SIGNAL
2268,2618,350,758.92,789.69,101.3611,4.0544,WIN,80.0,66.58715334540591,0.226,2.4933,0.2085,WIN
2619,2916,297,787.6,825.19,119.3182,4.7727,WIN,80.0,66.68861662375878,0.2806,5.3643,0.563,WIN
2917,2948,31,825.27,808.3,-51.4074,-2.0563,LOSS,80.0,80.88823784512178,0.3745,4.5357,0.5303,RSI_TOO_HIGH
3005,3126,121,813.99,852.4,117.9683,4.7187,WIN,100.0,64.64283463058723,0.4349,1.2118,0.014,WIN
3127,3266,139,847.97,830.88,-50.385,-2.0154,LOSS,100.0,64.62686233576596,0.5071,3.745,0.5279,FALSE_SIGNAL
3310,3348,38,847.09,830.0,-50.4374,-2.0175,LOSS,100.0,56.47231987928604,0.4371,1.4779,0.2276,LOW_VOLATILITY
3484,3769,285,841.64,824.11,-52.071,-2.0828,LOSS,80.0,75.9353271051373,0.1838,2.0811,0.2242,LOW_VOLATILITY
3846,3929,83,861.81,841.85,-57.9014,-2.3161,LOSS,80.0,79.57452573617428,0.5829,6.9509,0.6224,RSI_TOO_HIGH
3995,4030,35,853.73,889.36,104.3363,4.1735,WIN,100.0,60.74447036484677,0.3268,1.7497,0.2831,WIN
4031,4166,135,894.0,875.67,-51.2584,-2.0503,LOSS,80.0,78.9157667652682,0.578,2.848,1.3269,RSI_TOO_HIGH
4271,4281,10,878.78,858.54,-57.5798,-2.3032,LOSS,100.0,56.8313758731402,0.3892,1.5193,0.1725,LOW_VOLATILITY
4445,5004,559,860.83,840.24,-59.7969,-2.3919,LOSS,100.0,50.08557370831711,0.2621,1.0153,0.54,LOW_VOLATILITY
5157,5836,679,853.63,889.2,104.1728,4.1669,WIN,100.0,54.58075669581193,0.1308,1.0657,0.0987,WIN
5837,6056,219,889.13,924.76,100.1822,4.0073,WIN,80.0,74.14722235549219,0.192,2.5771,0.2188,WIN
6060,6468,408,924.7,961.8,100.3028,4.0121,WIN,80.0,73.63111311451375,0.2553,1.0246,0.6133,WIN
6471,6586,115,960.3,1003.78,113.1938,4.5278,WIN,100.0,61.944201603599325,0.2812,1.1308,0.6445,WIN
6587,6645,58,1003.22,982.74,-51.0357,-2.0414,LOSS,80.0,72.54897165516246,0.3959,2.8921,0.9155,LOW_VOLATILITY
6673,6832,159,994.1,1042.16,120.8631,4.8345,WIN,100.0,64.182027880459,0.2954,2.1246,0.0533,WIN
6835,6870,35,1037.16,1079.31,101.5996,4.064,WIN,80.0,69.2215033919347,0.4459,1.2079,0.9006,WIN
6879,6940,61,1062.3,1034.61,-65.1652,-2.6066,LOSS,80.0,42.61903757979643,0.476,1.2328,0.9916,LOW_VOLATILITY
7130,7242,112,1016.91,994.33,-55.5113,-2.2205,LOSS,100.0,52.08522386249054,0.4258,1.2104,0.2242,LOW_VOLATILITY
7469,7665,196,972.98,1012.16,100.6701,4.0268,WIN,100.0,58.87826098169365,0.2781,1.9924,0.3264,WIN
7666,7767,101,1015.89,993.88,-54.1643,-2.1666,LOSS,80.0,65.61396960541208,0.3786,3.4871,0.3361,FALSE_SIGNAL
7807,7948,141,1014.32,1061.44,116.1369,4.6455,WIN,80.0,65.22591387931898,0.3363,1.2652,0.0753,WIN
7949,8006,57,1060.05,1105.98,108.3204,4.3328,WIN,80.0,76.18462402994362,0.3752,1.6537,0.7363,WIN
8007,8023,16,1107.54,1085.24,-50.3368,-2.0135,LOSS,80.0,74.29711962182088,0.5127,2.9965,1.111,RSI_TOO_HIGH
