trades,wins,losses,win_rate,gross_profit,gross_loss,net_profit,profit_factor,profit_factor_score,max_drawdown,expectancy,time,symbol,min_score,take_profit_pct,stop_loss_pct,rsi_range,ema_filter,atr_filter,volume_filter
113,45,68,39.82,4865.21,-3808.72,1056.49,1.2774,1.2773883146859446,-796.26,9.35,2026-07-09T12:54:56.834930,BNBUSDT,60,0.04,-0.02,None,ema50_gt_ema200,False,True
113,45,68,39.82,4865.21,-3808.72,1056.49,1.2774,1.2773883146859446,-796.26,9.35,2026-07-09T12:55:09.964468,BNBUSDT,60,0.04,-0.02,None,ema20_gt_ema50_and_ema50_gt_ema200,False,True
113,45,68,39.82,4865.21,-3808.72,1056.49,1.2774,1.2773883146859446,-796.26,9.35,2026-07-09T12:58:38.955463,BNBUSDT,70,0.04,-0.02,None,ema50_gt_ema200,False,True
113,45,68,39.82,4865.21,-3808.72,1056.49,1.2774,1.2773883146859446,-796.26,9.35,2026-07-09T12:58:50.436730,BNBUSDT,70,0.04,-0.02,None,ema20_gt_ema50_and_ema50_gt_ema200,False,True
113,45,68,39.82,4865.21,-3808.72,1056.49,1.2774,1.2773883146859446,-796.26,9.35,2026-07-09T13:02:10.176274,BNBUSDT,80,0.04,-0.02,None,ema50_gt_ema200,False,True
113,45,68,39.82,4865.21,-3808.72,1056.49,1.2774,1.2773883146859446,-796.26,9.35,2026-07-09T13:02:24.192768,BNBUSDT,80,0.04,-0.02,None,ema20_gt_ema50_and_ema50_gt_ema200,False,True
117,34,83,29.06,6029.46,-4823.97,1205.49,1.2499,1.2498962472559938,-1188.91,10.3,2026-07-09T12:57:34.662401,BNBUSDT,60,0.05,-0.015,None,ema50_gt_ema200,True,True
117,34,83,29.06,6029.46,-4823.97,1205.49,1.2499,1.2498962472559938,-1188.91,10.3,2026-07-09T12:57:46.477615,BNBUSDT,60,0.05,-0.015,None,ema20_gt_ema50_and_ema50_gt_ema200,True,True
117,34,83,29.06,6029.46,-4823.97,1205.49,1.2499,1.2498962472559938,-1188.91,10.3,2026-07-09T13:01:04.526822,BNBUSDT,70,0.05,-0.015,None,ema50_gt_ema200,True,True
117,34,83,29.06,6029.46,-4823.97,1205.49,1.2499,1.2498962472559938,-1188.91,10.3,2026-07-09T13:01:16.261144,BNBUSDT,70,0.05,-0.015,None,ema20_gt_ema50_and_ema50_gt_ema200,True,True
