trades,wins,losses,win_rate,gross_profit,gross_loss,net_profit,profit_factor,profit_factor_score,max_drawdown,expectancy,time,symbol,min_score,take_profit_pct,stop_loss_pct,rsi_range,ema_filter,atr_filter,volume_filter,breakout_filter
117,36,81,30.77,6496.74,-4962.9,1533.84,1.3091,1.3090621524334312,-679.42,13.11,2026-07-09T13:45:44.673658,ETHUSDT,85,0.05,-0.015,"(35, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,True,False
117,36,81,30.77,6496.74,-4962.9,1533.84,1.3091,1.3090621524334312,-679.42,13.11,2026-07-09T13:45:58.457857,ETHUSDT,85,0.05,-0.015,"(40, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,True,False
99,29,70,29.29,5180.35,-4034.45,1145.9,1.284,1.284029835060459,-852.94,11.57,2026-07-09T13:53:46.377224,BNBUSDT,85,0.05,-0.015,"(35, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,True,False
99,29,70,29.29,5180.35,-4034.45,1145.9,1.284,1.284029835060459,-852.94,11.57,2026-07-09T13:53:59.143225,BNBUSDT,85,0.05,-0.015,"(40, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,True,False
85,22,63,25.88,4599.19,-3640.61,958.58,1.2633,1.2633029354970733,-1025.13,11.28,2026-07-09T13:54:11.579925,BNBUSDT,85,0.06,-0.015,"(35, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,True,False
85,22,63,25.88,4599.19,-3640.61,958.58,1.2633,1.2633029354970733,-1025.13,11.28,2026-07-09T13:54:24.113255,BNBUSDT,85,0.06,-0.015,"(40, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,True,False
107,31,76,28.97,5524.04,-4377.5,1146.55,1.2619,1.2619184243089383,-956.5,10.72,2026-07-09T13:52:42.965415,BNBUSDT,80,0.05,-0.015,"(40, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,True,False
108,31,77,28.7,5524.04,-4440.89,1083.16,1.2439,1.243906282468189,-1017.21,10.03,2026-07-09T13:52:30.419657,BNBUSDT,80,0.05,-0.015,"(35, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,True,False
96,25,71,26.04,5404.68,-4367.83,1036.85,1.2374,1.2373838255961267,-717.03,10.8,2026-07-09T13:46:10.934699,ETHUSDT,85,0.06,-0.015,"(35, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,True,False
96,25,71,26.04,5404.68,-4367.83,1036.85,1.2374,1.2373838255961267,-717.03,10.8,2026-07-09T13:46:23.128417,ETHUSDT,85,0.06,-0.015,"(40, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,True,False
110,31,79,28.18,5498.6,-4514.13,984.47,1.2181,1.2180865577354139,-1178.91,8.95,2026-07-09T13:53:40.258481,BNBUSDT,85,0.05,-0.015,"(35, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,False,False
110,31,79,28.18,5498.6,-4514.13,984.47,1.2181,1.2180865577354139,-1178.91,8.95,2026-07-09T13:53:52.774528,BNBUSDT,85,0.05,-0.015,"(40, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,False,False
80,25,55,31.25,3903.94,-3206.13,697.81,1.2176,1.2176493658021472,-997.59,8.72,2026-07-09T13:54:30.273204,BNBUSDT,85,0.06,-0.02,"(35, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,False,False
80,25,55,31.25,3903.94,-3206.13,697.81,1.2176,1.2176493658021472,-997.59,8.72,2026-07-09T13:54:42.788659,BNBUSDT,85,0.06,-0.02,"(40, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,False,False
