trades,wins,losses,win_rate,gross_profit,gross_loss,net_profit,profit_factor,profit_factor_score,max_drawdown,expectancy,time,symbol,min_score,rsi_range,atr_mode,volume_multiplier,ema_confirm,exit_mode,take_profit_pct,stop_loss_pct
66,54,12,81.82,1214.82,-652.47,562.35,1.8619,1.8618863694429961,-127.19,8.52,2026-07-09T15:24:44.910208,BNBUSDT,60,"(30, 55)",sma20,1.15,True,ema20_exit,0.04,-0.02
66,54,12,81.82,1214.82,-652.47,562.35,1.8619,1.8618863694429961,-127.19,8.52,2026-07-09T15:28:38.406444,BNBUSDT,65,"(30, 55)",sma20,1.15,True,ema20_exit,0.04,-0.02
66,54,12,81.82,1214.82,-652.47,562.35,1.8619,1.8618863694429961,-127.19,8.52,2026-07-09T15:31:38.869465,BNBUSDT,70,"(30, 55)",sma20,1.15,True,ema20_exit,0.04,-0.02
70,57,13,81.43,1300.48,-721.76,578.72,1.8018,1.801822723019838,-137.58,8.27,2026-07-09T15:24:37.506448,BNBUSDT,60,"(30, 55)",sma20,1.1,True,ema20_exit,0.04,-0.02
70,57,13,81.43,1300.48,-721.76,578.72,1.8018,1.801822723019838,-137.58,8.27,2026-07-09T15:28:31.140287,BNBUSDT,65,"(30, 55)",sma20,1.1,True,ema20_exit,0.04,-0.02
70,57,13,81.43,1300.48,-721.76,578.72,1.8018,1.801822723019838,-137.58,8.27,2026-07-09T15:31:31.758906,BNBUSDT,70,"(30, 55)",sma20,1.1,True,ema20_exit,0.04,-0.02
64,52,12,81.25,1085.32,-652.47,432.86,1.6634,1.6634144464908656,-142.03,6.76,2026-07-09T15:24:52.374833,BNBUSDT,60,"(30, 55)",sma20,1.2,True,ema20_exit,0.04,-0.02
64,52,12,81.25,1085.32,-652.47,432.86,1.6634,1.6634144464908656,-142.03,6.76,2026-07-09T15:28:45.708466,BNBUSDT,65,"(30, 55)",sma20,1.2,True,ema20_exit,0.04,-0.02
64,52,12,81.25,1085.32,-652.47,432.86,1.6634,1.6634144464908656,-142.03,6.76,2026-07-09T15:31:45.997120,BNBUSDT,70,"(30, 55)",sma20,1.2,True,ema20_exit,0.04,-0.02
58,46,12,79.31,1098.47,-684.02,414.45,1.6059,1.6058949858337888,-260.06,7.15,2026-07-09T15:15:27.512031,XRPUSDT,60,"(30, 55)",sma20,1.15,True,ema20_exit,0.04,-0.02
58,46,12,79.31,1098.47,-684.02,414.45,1.6059,1.6058949858337888,-260.06,7.15,2026-07-09T15:18:33.353990,XRPUSDT,65,"(30, 55)",sma20,1.15,True,ema20_exit,0.04,-0.02
58,46,12,79.31,1098.47,-684.02,414.45,1.6059,1.6058949858337888,-260.06,7.15,2026-07-09T15:21:38.601312,XRPUSDT,70,"(30, 55)",sma20,1.15,True,ema20_exit,0.04,-0.02
121,92,29,76.03,2595.75,-1684.98,910.77,1.5405,1.5405245534654497,-365.91,7.53,2026-07-09T14:54:15.886190,ETHUSDT,60,"(30, 60)",sma20,1.1,True,ema20_exit,0.04,-0.02
121,92,29,76.03,2595.75,-1684.98,910.77,1.5405,1.5405245534654497,-365.91,7.53,2026-07-09T14:55:13.272996,ETHUSDT,60,"(35, 60)",sma20,1.1,True,ema20_exit,0.04,-0.02
121,92,29,76.03,2595.75,-1684.98,910.77,1.5405,1.5405245534654497,-365.91,7.53,2026-07-09T14:58:21.601846,ETHUSDT,65,"(30, 60)",sma20,1.1,True,ema20_exit,0.04,-0.02
121,92,29,76.03,2595.75,-1684.98,910.77,1.5405,1.5405245534654497,-365.91,7.53,2026-07-09T14:59:23.984994,ETHUSDT,65,"(35, 60)",sma20,1.1,True,ema20_exit,0.04,-0.02
121,92,29,76.03,2595.75,-1684.98,910.77,1.5405,1.5405245534654497,-365.91,7.53,2026-07-09T15:02:23.965730,ETHUSDT,70,"(30, 60)",sma20,1.1,True,ema20_exit,0.04,-0.02
121,92,29,76.03,2595.75,-1684.98,910.77,1.5405,1.5405245534654497,-365.91,7.53,2026-07-09T15:03:13.588109,ETHUSDT,70,"(35, 60)",sma20,1.1,True,ema20_exit,0.04,-0.02
54,43,11,79.63,975.99,-633.92,342.07,1.5396,1.5396099603088784,-322.44,6.33,2026-07-09T15:15:34.861462,XRPUSDT,60,"(30, 55)",sma20,1.2,True,ema20_exit,0.04,-0.02
54,43,11,79.63,975.99,-633.92,342.07,1.5396,1.5396099603088784,-322.44,6.33,2026-07-09T15:18:40.503132,XRPUSDT,65,"(30, 55)",sma20,1.2,True,ema20_exit,0.04,-0.02
54,43,11,79.63,975.99,-633.92,342.07,1.5396,1.5396099603088784,-322.44,6.33,2026-07-09T15:21:46.599463,XRPUSDT,70,"(30, 55)",sma20,1.2,True,ema20_exit,0.04,-0.02
