trades,wins,losses,win_rate,gross_profit,gross_loss,net_profit,profit_factor,profit_factor_score,max_drawdown,expectancy,time,symbol,min_score,rsi_range,atr_mode,volume_multiplier,ema_confirm,exit_mode,take_profit_pct,stop_loss_pct
121,92,29,76.03,2595.75,-1684.98,910.77,1.5405,1.5405245534654497,-365.91,7.53,2026-07-09T14:54:15.886190,ETHUSDT,60,"(30, 60)",sma20,1.1,True,ema20_exit,0.04,-0.02
121,92,29,76.03,2595.75,-1684.98,910.77,1.5405,1.5405245534654497,-365.91,7.53,2026-07-09T14:55:13.272996,ETHUSDT,60,"(35, 60)",sma20,1.1,True,ema20_exit,0.04,-0.02
121,92,29,76.03,2595.75,-1684.98,910.77,1.5405,1.5405245534654497,-365.91,7.53,2026-07-09T14:58:21.601846,ETHUSDT,65,"(30, 60)",sma20,1.1,True,ema20_exit,0.04,-0.02
121,92,29,76.03,2595.75,-1684.98,910.77,1.5405,1.5405245534654497,-365.91,7.53,2026-07-09T14:59:23.984994,ETHUSDT,65,"(35, 60)",sma20,1.1,True,ema20_exit,0.04,-0.02
121,92,29,76.03,2595.75,-1684.98,910.77,1.5405,1.5405245534654497,-365.91,7.53,2026-07-09T15:02:23.965730,ETHUSDT,70,"(30, 60)",sma20,1.1,True,ema20_exit,0.04,-0.02
121,92,29,76.03,2595.75,-1684.98,910.77,1.5405,1.5405245534654497,-365.91,7.53,2026-07-09T15:03:13.588109,ETHUSDT,70,"(35, 60)",sma20,1.1,True,ema20_exit,0.04,-0.02
120,91,29,75.83,2440.08,-1684.98,755.1,1.4481,1.4481371248017776,-365.91,6.29,2026-07-09T14:54:24.220117,ETHUSDT,60,"(30, 60)",sma20,1.15,True,ema20_exit,0.04,-0.02
120,91,29,75.83,2440.08,-1684.98,755.1,1.4481,1.4481371248017776,-365.91,6.29,2026-07-09T14:55:22.676872,ETHUSDT,60,"(35, 60)",sma20,1.15,True,ema20_exit,0.04,-0.02
120,91,29,75.83,2440.08,-1684.98,755.1,1.4481,1.4481371248017776,-365.91,6.29,2026-07-09T14:58:30.773086,ETHUSDT,65,"(30, 60)",sma20,1.15,True,ema20_exit,0.04,-0.02
120,91,29,75.83,2440.08,-1684.98,755.1,1.4481,1.4481371248017776,-365.91,6.29,2026-07-09T14:59:34.240009,ETHUSDT,65,"(35, 60)",sma20,1.15,True,ema20_exit,0.04,-0.02
120,91,29,75.83,2440.08,-1684.98,755.1,1.4481,1.4481371248017776,-365.91,6.29,2026-07-09T15:02:32.110528,ETHUSDT,70,"(30, 60)",sma20,1.15,True,ema20_exit,0.04,-0.02
120,91,29,75.83,2440.08,-1684.98,755.1,1.4481,1.4481371248017776,-365.91,6.29,2026-07-09T15:03:21.469414,ETHUSDT,70,"(35, 60)",sma20,1.15,True,ema20_exit,0.04,-0.02
146,111,35,76.03,2837.35,-1964.31,873.04,1.4444,1.4444499538642652,-367.62,5.98,2026-07-09T15:25:28.997044,BNBUSDT,60,"(30, 60)",sma20,1.1,True,ema20_exit,0.04,-0.02
146,111,35,76.03,2837.35,-1964.31,873.04,1.4444,1.4444499538642652,-367.62,5.98,2026-07-09T15:26:35.252393,BNBUSDT,60,"(35, 60)",sma20,1.1,True,ema20_exit,0.04,-0.02
146,111,35,76.03,2837.35,-1964.31,873.04,1.4444,1.4444499538642652,-367.62,5.98,2026-07-09T15:29:15.104796,BNBUSDT,65,"(30, 60)",sma20,1.1,True,ema20_exit,0.04,-0.02
146,111,35,76.03,2837.35,-1964.31,873.04,1.4444,1.4444499538642652,-367.62,5.98,2026-07-09T15:30:00.659847,BNBUSDT,65,"(35, 60)",sma20,1.1,True,ema20_exit,0.04,-0.02
146,111,35,76.03,2837.35,-1964.31,873.04,1.4444,1.4444499538642652,-367.62,5.98,2026-07-09T15:32:15.649529,BNBUSDT,70,"(30, 60)",sma20,1.1,True,ema20_exit,0.04,-0.02
