symbol,exit_reason,trades,wins,net_profit,average_profit
BNBUSDT,EMA20_EXIT,15,4,12.807,0.8538
BNBUSDT,STOP_LOSS,46,0,-2504.1604,-54.4383
BNBUSDT,TAKE_PROFIT,15,15,1391.0049,92.7337
BTCUSDT,EMA20_EXIT,20,6,-47.1533,-2.3577
BTCUSDT,STOP_LOSS,36,0,-2290.2732,-63.6187
BTCUSDT,TAKE_PROFIT,18,18,1880.5663,104.4759
ETHUSDT,EMA20_EXIT,31,16,222.644,7.1821
ETHUSDT,STOP_LOSS,99,0,-5114.1296,-51.6579
ETHUSDT,TAKE_PROFIT,38,38,3454.8877,90.9181
SOLUSDT,EMA20_EXIT,40,22,196.0464,4.9012
SOLUSDT,STOP_LOSS,125,0,-5472.0719,-43.7766
SOLUSDT,TAKE_PROFIT,30,30,2637.6152,87.9205
XRPUSDT,EMA20_EXIT,17,8,28.7201,1.6894
XRPUSDT,STOP_LOSS,38,0,-2079.349,-54.7197
XRPUSDT,TAKE_PROFIT,13,13,1274.6241,98.048
