input,path,exists,size_bytes,status
backtest_summary,/mnt/data/root_cause_validation_project/reports/backtest_v0.1.0/backtest_summary.csv,True,617,AVAILABLE
benchmark_comparison,/mnt/data/root_cause_validation_project/reports/backtest_v0.1.0/benchmark_comparison.csv,True,1559,AVAILABLE
trade_journal,/mnt/data/root_cause_validation_project/reports/backtest_v0.1.0/trade_journal.csv,True,117698,AVAILABLE
backtest_run,/mnt/data/root_cause_validation_project/reports/backtest_v0.1.0/backtest_run.json,True,984,AVAILABLE
portfolio_benchmark,/mnt/data/root_cause_validation_project/research/portfolio_backtest_report.csv,True,1299,AVAILABLE
walk_forward,/mnt/data/root_cause_validation_project/research/walk_forward_report.csv,True,1114,AVAILABLE
feature_importance,/mnt/data/root_cause_validation_project/research/feature_importance.csv,True,589,AVAILABLE
final_trade_analysis,/mnt/data/root_cause_validation_project/research/final_trade_analysis.csv,True,11946,AVAILABLE
portfolio_trade_log,/mnt/data/root_cause_validation_project/research/portfolio_trade_log.csv,True,434,AVAILABLE
optimization_v2_best,/mnt/data/root_cause_validation_project/research/optimization_lab_v2_best.csv,True,5455,AVAILABLE
optimization_v3_best,/mnt/data/root_cause_validation_project/research/optimization_lab_v3_best.csv,True,2925,AVAILABLE
optimization_v4_best,/mnt/data/root_cause_validation_project/research/optimization_lab_v4_best.csv,True,12212,AVAILABLE
optimization_v4_all,/mnt/data/root_cause_validation_project/research/optimization_lab_v4.csv,True,120203,AVAILABLE
